video_file,anchor_time,tactic_class
videoplayback (3).mp4,00:04:53.000,Coordinated_Defence
videoplayback (3).mp4,00:04:54.000,Coordinated_Attack
videoplayback (3).mp4,00:05:07.000,Delayed_Support
videoplayback (3).mp4,00:05:40.000,Coordinated_Defence
videoplayback (3).mp4,00:05:42.000,Coordinated_Defence
videoplayback (3).mp4,00:05:43.000,Coordinated_Attack
videoplayback (3).mp4,00:05:55.000,Coordinated_Defence
videoplayback (3).mp4,00:05:56.000,Coordinated_Defence
videoplayback (3).mp4,00:05:59.000,Coordinated_Defence
videoplayback (3).mp4,00:06:00.000,Coordinated_Attack
videoplayback (3).mp4,00:06:03.000,Coordinated_Defence
videoplayback (3).mp4,00:06:04.000,Coordinated_Defence
videoplayback (3).mp4,00:06:05.000,Coordinated_Attack
videoplayback (3).mp4,00:06:17.000,Delayed_Support
videoplayback (3).mp4,00:06:26.000,Coordinated_Defence
videoplayback (3).mp4,00:06:29.000,Coordinated_Defence
videoplayback (3).mp4,00:06:30.000,Coordinated_Attack
videoplayback (3).mp4,00:06:42.000,Coordinated_Defence
videoplayback (3).mp4,00:06:47.000,Coordinated_Defence
videoplayback (3).mp4,00:06:48.000,Coordinated_Defence
videoplayback (3).mp4,00:06:50.000,Coordinated_Defence
videoplayback (3).mp4,00:06:51.000,Coordinated_Defence
videoplayback (3).mp4,00:06:55.000,Delayed_Support
videoplayback (3).mp4,00:07:04.000,Coordinated_Defence
videoplayback (3).mp4,00:07:05.000,Coordinated_Defence
videoplayback (3).mp4,00:07:06.000,Coordinated_Attack
videoplayback (3).mp4,00:07:12.000,Coordinated_Defence
videoplayback (3).mp4,00:07:14.000,Coordinated_Defence
videoplayback (3).mp4,00:07:15.000,Coordinated_Attack
videoplayback (3).mp4,00:07:18.000,Coordinated_Defence
videoplayback (3).mp4,00:07:19.000,Coordinated_Defence
videoplayback (3).mp4,00:07:20.000,Coordinated_Defence
videoplayback (3).mp4,00:07:21.000,Coordinated_Attack
videoplayback (3).mp4,00:07:30.000,Coordinated_Defence
videoplayback (3).mp4,00:07:32.000,Coordinated_Defence
videoplayback (3).mp4,00:07:33.000,Coordinated_Attack
videoplayback (3).mp4,00:07:46.000,Coordinated_Defence
videoplayback (3).mp4,00:07:47.000,Coordinated_Defence
videoplayback (3).mp4,00:07:48.000,Coordinated_Defence
videoplayback (3).mp4,00:07:49.000,Coordinated_Attack
videoplayback (3).mp4,00:08:00.000,Coordinated_Defence
videoplayback (3).mp4,00:08:03.000,Coordinated_Defence
videoplayback (3).mp4,00:08:04.000,Coordinated_Attack
videoplayback (3).mp4,00:08:09.000,Spacing_Breakdown
videoplayback (3).mp4,00:08:17.000,Coordinated_Defence
videoplayback (3).mp4,00:08:19.000,Coordinated_Defence
videoplayback (3).mp4,00:08:20.000,Coordinated_Attack
videoplayback (3).mp4,00:08:33.000,Coordinated_Defence
videoplayback (3).mp4,00:08:34.000,Coordinated_Defence
videoplayback (3).mp4,00:08:35.000,Coordinated_Defence
videoplayback (3).mp4,00:08:36.000,Coordinated_Attack
videoplayback (3).mp4,00:09:15.000,Coordinated_Defence
videoplayback (3).mp4,00:09:17.000,Coordinated_Defence
videoplayback (3).mp4,00:09:18.000,Coordinated_Attack
videoplayback (3).mp4,00:09:34.000,Coordinated_Defence
videoplayback (3).mp4,00:09:35.000,Coordinated_Defence
videoplayback (3).mp4,00:09:36.000,Coordinated_Attack
videoplayback (4).mp4,00:00:06.000,Delayed_Support
videoplayback (4).mp4,00:00:16.000,Coordinated_Defence
videoplayback (4).mp4,00:00:17.000,Coordinated_Defence
videoplayback (4).mp4,00:00:18.000,Coordinated_Attack
videoplayback (4).mp4,00:00:31.000,Spacing_Breakdown
videoplayback (4).mp4,00:00:40.000,Delayed_Support
videoplayback (4).mp4,00:01:22.000,Coordinated_Defence
videoplayback (4).mp4,00:01:23.000,Coordinated_Defence
videoplayback (4).mp4,00:01:25.000,Coordinated_Attack
videoplayback (4).mp4,00:01:30.000,Coordinated_Defence
videoplayback (4).mp4,00:01:41.000,Spacing_Breakdown
videoplayback (4).mp4,00:01:50.000,Coordinated_Defence 
videoplayback (4).mp4,00:01:51.000,Coordinated_Defence 
videoplayback (4).mp4,00:01:52.000,Coordinated_Attack
videoplayback (4).mp4,00:02:04.000,Coordinated_Defence
videoplayback (4).mp4,00:02:05.000,Coordinated_Defence
videoplayback (4).mp4,00:02:06.000,Coordinated_Defence
videoplayback (4).mp4,00:02:07.000,Coordinated_Attack
videoplayback (4).mp4,00:02:17.000,Coordinated_Defence
videoplayback (4).mp4,00:02:19.000,Coordinated_Defence
videoplayback (4).mp4,00:02:20.000,Coordinated_Attack
videoplayback (4).mp4,00:02:42.000,Coordinated_Defence
videoplayback (4).mp4,00:02:45.000,Coordinated_Attack
videoplayback (4).mp4,00:02:57.000,Coordinated_Defence 
videoplayback (4).mp4,00:03:18.400,Coordinated_Attack
videoplayback (4).mp4,00:03:31.000,Spacing_Breakdown
videoplayback (4).mp4,00:03:40.000,Coordinated_Defence
videoplayback (4).mp4,00:03:42.200,Coordinated_Attack
videoplayback (4).mp4,00:03:47.200,Coordinated_Defence
videoplayback (4).mp4,00:03:49.700,Coordinated_Attack
videoplayback (4).mp4,00:03:54.200,Delayed_Support
videoplayback (4).mp4,00:04:04.200,Coordinated_Defence
videoplayback (4).mp4,00:04:05.900,Coordinated_Attack
videoplayback (4).mp4,00:04:17.800,Coordinated_Defence
videoplayback (4).mp4,00:04:27.000,Coordinated_Defence  
videoplayback (4).mp4,00:04:29.500,Coordinated_Attack
videoplayback (4).mp4,00:04:39.200,Coordinated_Defence
videoplayback (4).mp4,00:04:42.600,Coordinated_Attack
videoplayback (4).mp4,00:04:54.850,Coordinated_Attack
videoplayback (4).mp4,00:05:16.200,Coordinated_Attack
videoplayback (4).mp4,00:05:27.850,Coordinated_Defence
videoplayback (4).mp4,00:05:58.000,Coordinated_Defence
videoplayback (4).mp4,00:06:11.200,Coordinated_Defence
videoplayback (4).mp4,00:06:16.500,Coordinated_Attack
videoplayback (4).mp4,00:06:29.800,Spacing_Breakdown
videoplayback (4).mp4,00:06:50.150,Coordinated_Attacks
videoplayback (4).mp4,00:06:58.500,Coordinated_Attack
videoplayback (4).mp4,00:07:21.150,Spacing_Breakdown
videoplayback (4).mp4,00:07:33.400,Coordinated_Attack
videoplayback (4).mp4,00:08:15.600,Coordinated_Attack
videoplayback (4).mp4,00:08:28.000,Coordinated_Attack  
videoplayback (4).mp4,00:08:34.800,Coordinated_Attack
