n_attacker,attacker_vmax,n_setter,setter_vmax,n_libero,libero_vmax,n_defender,defender_vmax,attacker_approach_cms,libero_lateral_cms,setter_displacement_cm,n_unknown,clip,target_label
3,532.4,1,137.6,0,,0,,524.1,,59.9,2,Coordinated_Attack__videoplayback (3)_clip_061.csv,Coordinated Attack
5,505.0,0,,0,,0,,317.7,,,1,Coordinated_Attack__videoplayback (3)_clip_064.csv,Coordinated Attack
3,679.5,1,338.5,0,,0,,467.8,,121.7,2,Coordinated_Attack__videoplayback (3)_clip_068.csv,Coordinated Attack
2,417.9,1,173.4,0,,0,,380.9,,74.8,3,Coordinated_Attack__videoplayback (3)_clip_077.csv,Coordinated Attack
3,683.4,1,365.5,0,,1,58.5,488.4,,118.2,1,Coordinated_Attack__videoplayback (3)_clip_080.csv,Coordinated Attack
4,551.4,1,214.5,0,,1,64.5,439.3,,72.4,0,Coordinated_Attack__videoplayback (3)_clip_084.csv,Coordinated Attack
3,647.4,1,138.3,1,490.7,0,,451.2,481.8,73.3,1,Coordinated_Attack__videoplayback (3)_clip_087.csv,Coordinated Attack
3,520.9,1,475.0,0,,0,,248.3,,82.0,2,Coordinated_Attack__videoplayback (3)_clip_091.csv,Coordinated Attack
4,457.2,1,245.3,0,,1,230.8,299.9,,101.1,0,Coordinated_Attack__videoplayback (3)_clip_094.csv,Coordinated Attack
4,568.3,1,264.9,0,,0,,567.7,,99.5,1,Coordinated_Attack__videoplayback (3)_clip_098.csv,Coordinated Attack
2,578.4,1,193.3,0,,0,,287.2,,61.8,3,Coordinated_Attack__videoplayback (3)_clip_102.csv,Coordinated Attack
4,541.3,1,473.2,0,,0,,127.5,,76.2,1,Coordinated_Attack__videoplayback (3)_clip_105.csv,Coordinated Attack
4,681.6,0,,0,,0,,347.1,,,2,Coordinated_Attack__videoplayback (3)_clip_108.csv,Coordinated Attack
4,745.8,1,217.6,0,,1,157.5,283.1,,94.7,0,Coordinated_Attack__videoplayback (4)_clip_112.csv,Coordinated Attack
3,609.3,0,,0,,1,54.2,241.3,,,2,Coordinated_Attack__videoplayback (4)_clip_117.csv,Coordinated Attack
5,475.5,0,,0,,1,25.2,359.6,,,0,Coordinated_Attack__videoplayback (4)_clip_122.csv,Coordinated Attack
5,783.7,0,,0,,1,73.6,455.7,,,0,Coordinated_Attack__videoplayback (4)_clip_126.csv,Coordinated Attack
4,450.7,0,,0,,1,40.7,367.4,,,1,Coordinated_Attack__videoplayback (4)_clip_129.csv,Coordinated Attack
3,513.1,1,205.5,0,,1,51.2,303.8,,93.0,1,Coordinated_Attack__videoplayback (4)_clip_131.csv,Coordinated Attack
3,696.8,1,394.6,0,,1,22.7,594.6,,144.5,1,Coordinated_Attack__videoplayback (4)_clip_133.csv,Coordinated Attack
3,582.7,0,,0,,1,38.0,518.5,,,2,Coordinated_Attack__videoplayback (4)_clip_136.csv,Coordinated Attack
5,592.0,0,,0,,1,5.7,342.1,,,0,Coordinated_Attack__videoplayback (4)_clip_138.csv,Coordinated Attack
3,537.6,1,211.1,0,,2,210.5,412.0,,46.6,0,Coordinated_Attack__videoplayback (4)_clip_141.csv,Coordinated Attack
4,718.5,1,349.2,0,,1,11.4,490.0,,111.8,0,Coordinated_Attack__videoplayback (4)_clip_144.csv,Coordinated Attack
3,756.8,0,,0,,1,12.4,219.1,,,2,Coordinated_Attack__videoplayback (4)_clip_146.csv,Coordinated Attack
2,254.1,0,,0,,1,48.8,101.0,,,3,Coordinated_Attack__videoplayback (4)_clip_147.csv,Coordinated Attack
4,675.0,0,,0,,1,11.1,338.9,,,1,Coordinated_Attack__videoplayback (4)_clip_148.csv,Coordinated Attack
3,684.8,0,,0,,1,44.2,411.0,,,2,Coordinated_Attack__videoplayback (4)_clip_152.csv,Coordinated Attack
3,528.7,1,274.4,0,,1,69.5,273.3,,136.5,1,Coordinated_Attack__videoplayback (4)_clip_155.csv,Coordinated Attack
3,486.2,1,437.0,0,,1,25.6,470.9,,90.7,1,Coordinated_Attack__videoplayback (4)_clip_157.csv,Coordinated Attack
3,664.2,0,,0,,1,12.4,487.1,,,2,Coordinated_Attack__videoplayback (4)_clip_158.csv,Coordinated Attack
4,468.7,0,,0,,1,14.9,305.2,,,1,Coordinated_Attack__videoplayback (4)_clip_159.csv,Coordinated Attack
4,724.8,0,,0,,1,13.9,301.2,,,1,Coordinated_Attack__videoplayback (4)_clip_160.csv,Coordinated Attack
2,676.5,0,,0,,0,,446.6,,,4,Coordinated_Defense__videoplayback (1)_clip_003.csv,Coordinated Defense
2,679.2,1,251.1,0,,0,,234.9,,91.4,3,Coordinated_Defense__videoplayback (1)_clip_005.csv,Coordinated Defense
3,483.0,1,148.0,0,,0,,313.5,,31.2,2,Coordinated_Defense__videoplayback (1)_clip_008.csv,Coordinated Defense
3,629.5,1,680.8,0,,0,,184.6,,93.1,2,Coordinated_Defense__videoplayback (1)_clip_010.csv,Coordinated Defense
1,210.8,0,,0,,1,333.5,148.5,,,4,Coordinated_Defense__videoplayback (1)_clip_013.csv,Coordinated Defense
1,341.5,1,135.8,0,,0,,221.3,,72.7,4,Coordinated_Defense__videoplayback (1)_clip_014.csv,Coordinated Defense
3,547.4,0,,0,,0,,181.5,,,3,Coordinated_Defense__videoplayback (1)_clip_015.csv,Coordinated Defense
1,268.4,0,,0,,0,,209.9,,,5,Coordinated_Defense__videoplayback (1)_clip_017.csv,Coordinated Defense
1,535.8,1,363.3,0,,0,,159.8,,155.8,4,Coordinated_Defense__videoplayback (1)_clip_018.csv,Coordinated Defense
2,656.8,0,,0,,0,,208.3,,,4,Coordinated_Defense__videoplayback (1)_clip_021.csv,Coordinated Defense
2,527.5,0,,0,,1,372.9,258.2,,,3,Coordinated_Defense__videoplayback (1)_clip_025.csv,Coordinated Defense
2,712.9,0,,0,,1,328.7,40.8,,,3,Coordinated_Defense__videoplayback (1)_clip_034.csv,Coordinated Defense
3,602.1,1,335.3,0,,0,,133.2,,71.2,2,Coordinated_Defense__videoplayback (1)_clip_044.csv,Coordinated Defense
3,602.1,1,335.3,0,,0,,133.2,,71.2,2,Coordinated_Defense__videoplayback (1)_clip_046.csv,Coordinated Defense
2,441.5,1,321.6,0,,0,,325.0,,59.9,3,Coordinated_Defense__videoplayback (1)_clip_047.csv,Coordinated Defense
2,797.5,0,,0,,0,,365.5,,,4,Coordinated_Defense__videoplayback (1)_clip_050.csv,Coordinated Defense
2,398.1,0,,1,450.6,0,,92.8,417.5,,3,Coordinated_Defense__videoplayback (1)_clip_052.csv,Coordinated Defense
2,602.6,1,186.2,1,573.2,0,,130.6,403.9,46.6,2,Coordinated_Defense__videoplayback (1)_clip_053.csv,Coordinated Defense
1,213.9,1,243.2,0,,0,,102.7,,82.0,4,Coordinated_Defense__videoplayback (1)_clip_058.csv,Coordinated Defense
2,454.2,0,,0,,0,,169.2,,,4,Coordinated_Defense__videoplayback (1)_clip_064.csv,Coordinated Defense
2,730.8,1,239.8,0,,0,,117.3,,92.2,3,Coordinated_Defense__videoplayback (1)_clip_067.csv,Coordinated Defense
4,279.8,0,,0,,0,,141.4,,,2,Coordinated_Defense__videoplayback (1)_clip_069.csv,Coordinated Defense
2,611.4,1,253.0,0,,0,,159.3,,99.9,3,Coordinated_Defense__videoplayback (1)_clip_070.csv,Coordinated Defense
1,186.0,0,,0,,0,,107.3,,,5,Coordinated_Defense__videoplayback (1)_clip_073.csv,Coordinated Defense
2,617.6,0,,0,,0,,146.2,,,4,Coordinated_Defense__videoplayback (1)_clip_074.csv,Coordinated Defense
1,631.2,1,284.0,0,,0,,136.7,,135.4,4,Coordinated_Defense__videoplayback (1)_clip_075.csv,Coordinated Defense
2,542.6,1,163.9,0,,0,,128.5,,68.3,3,Coordinated_Defense__videoplayback (1)_clip_077.csv,Coordinated Defense
1,511.2,1,625.9,0,,0,,82.4,,169.5,4,Coordinated_Defense__videoplayback (1)_clip_080.csv,Coordinated Defense
1,773.5,1,269.2,0,,0,,192.3,,106.1,4,Coordinated_Defense__videoplayback (1)_clip_081.csv,Coordinated Defense
1,521.6,1,220.2,0,,0,,338.1,,37.7,4,Coordinated_Defense__videoplayback (1)_clip_082.csv,Coordinated Defense
1,308.5,1,221.6,0,,1,385.6,194.5,,98.7,3,Coordinated_Defense__videoplayback (1)_clip_083.csv,Coordinated Defense
2,433.5,0,,1,496.8,0,,91.3,489.2,,3,Coordinated_Defense__videoplayback (1)_clip_090.csv,Coordinated Defense
2,558.8,1,181.8,0,,0,,125.9,,81.4,3,Coordinated_Defense__videoplayback (1)_clip_098.csv,Coordinated Defense
1,609.3,1,218.3,0,,0,,189.2,,61.5,4,Coordinated_Defense__videoplayback (1)_clip_102.csv,Coordinated Defense
1,205.8,0,,0,,0,,180.6,,,5,Coordinated_Defense__videoplayback (1)_clip_110.csv,Coordinated Defense
3,653.2,0,,0,,0,,50.5,,,3,Coordinated_Defense__videoplayback (1)_clip_113.csv,Coordinated Defense
3,551.6,0,,0,,0,,88.2,,,3,Coordinated_Defense__videoplayback (1)_clip_117.csv,Coordinated Defense
2,318.0,0,,0,,0,,125.1,,,4,Coordinated_Defense__videoplayback (1)_clip_122.csv,Coordinated Defense
3,447.1,0,,0,,0,,55.0,,,3,Coordinated_Defense__videoplayback (1)_clip_123.csv,Coordinated Defense
2,730.0,0,,0,,0,,259.3,,,4,Coordinated_Defense__videoplayback (1)_clip_124.csv,Coordinated Defense
2,349.6,1,109.2,0,,1,96.9,273.9,,23.7,2,Coordinated_Defense__videoplayback (3)_clip_001.csv,Coordinated Defense
3,648.5,0,,0,,1,506.1,483.0,,,2,Coordinated_Defense__videoplayback (3)_clip_004.csv,Coordinated Defense
2,658.9,1,77.5,1,306.4,1,350.3,446.8,300.5,39.2,1,Coordinated_Defense__videoplayback (3)_clip_006.csv,Coordinated Defense
2,332.5,1,178.0,0,,1,122.7,149.3,,59.1,2,Coordinated_Defense__videoplayback (3)_clip_007.csv,Coordinated Defense
5,359.6,1,199.7,0,,0,,106.4,,52.1,0,Coordinated_Defense__videoplayback (3)_clip_009.csv,Coordinated Defense
3,537.3,1,265.2,0,,0,,154.2,,71.6,2,Coordinated_Defense__videoplayback (3)_clip_010.csv,Coordinated Defense
3,665.2,0,,0,,0,,192.2,,,3,Coordinated_Defense__videoplayback (3)_clip_012.csv,Coordinated Defense
1,591.7,1,272.2,0,,1,117.7,581.3,,72.0,3,Coordinated_Defense__videoplayback (3)_clip_013.csv,Coordinated Defense
4,429.0,1,50.8,0,,0,,111.5,,22.4,1,Coordinated_Defense__videoplayback (3)_clip_015.csv,Coordinated Defense
4,765.9,1,77.7,0,,0,,241.4,,37.6,1,Coordinated_Defense__videoplayback (3)_clip_016.csv,Coordinated Defense
3,523.1,1,45.2,0,,0,,204.5,,19.9,2,Coordinated_Defense__videoplayback (3)_clip_018.csv,Coordinated Defense
4,627.0,1,108.5,0,,1,306.3,272.0,,49.5,0,Coordinated_Defense__videoplayback (3)_clip_019.csv,Coordinated Defense
2,576.6,1,226.0,0,,3,301.7,394.1,,119.3,0,Coordinated_Defense__videoplayback (3)_clip_020.csv,Coordinated Defense
3,573.3,0,,0,,2,332.1,325.8,,,1,Coordinated_Defense__videoplayback (3)_clip_022.csv,Coordinated Defense
1,329.3,1,145.9,0,,2,193.7,308.2,,83.0,2,Coordinated_Defense__videoplayback (3)_clip_023.csv,Coordinated Defense
2,600.6,1,214.6,1,578.2,1,237.5,339.8,578.0,98.5,1,Coordinated_Defense__videoplayback (3)_clip_024.csv,Coordinated Defense
1,253.2,1,175.5,0,,2,115.5,178.6,,71.2,2,Coordinated_Defense__videoplayback (3)_clip_026.csv,Coordinated Defense
2,520.3,1,193.1,0,,0,,234.3,,64.6,3,Coordinated_Defense__videoplayback (3)_clip_027.csv,Coordinated Defense
2,206.4,0,,0,,0,,205.8,,,4,Coordinated_Defense__videoplayback (3)_clip_030.csv,Coordinated Defense
2,537.8,1,152.9,0,,0,,72.3,,50.4,3,Coordinated_Defense__videoplayback (3)_clip_031.csv,Coordinated Defense
3,388.5,1,92.8,0,,0,,72.3,,39.1,2,Coordinated_Defense__videoplayback (3)_clip_033.csv,Coordinated Defense
1,558.4,1,181.1,0,,1,84.5,248.9,,72.0,3,Coordinated_Defense__videoplayback (3)_clip_034.csv,Coordinated Defense
3,219.3,1,18.6,0,,1,174.1,62.5,,7.5,1,Coordinated_Defense__videoplayback (3)_clip_036.csv,Coordinated Defense
2,708.1,1,307.8,1,404.0,1,16.3,453.1,397.9,130.7,1,Coordinated_Defense__videoplayback (3)_clip_037.csv,Coordinated Defense
1,409.4,1,293.5,0,,1,207.7,347.4,,54.5,3,Coordinated_Defense__videoplayback (3)_clip_039.csv,Coordinated Defense
2,736.0,1,230.9,0,,0,,267.5,,79.1,3,Coordinated_Defense__videoplayback (3)_clip_040.csv,Coordinated Defense
2,540.7,1,146.9,0,,0,,398.8,,48.4,3,Coordinated_Defense__videoplayback (3)_clip_041.csv,Coordinated Defense
2,524.7,1,171.0,0,,1,40.2,253.1,,69.0,2,Coordinated_Defense__videoplayback (3)_clip_044.csv,Coordinated Defense
2,626.4,1,281.8,0,,0,,326.9,,70.3,3,Coordinated_Defense__videoplayback (3)_clip_045.csv,Coordinated Defense
3,489.2,1,203.4,0,,0,,136.2,,46.3,2,Coordinated_Defense__videoplayback (3)_clip_046.csv,Coordinated Defense
2,587.9,1,242.6,0,,0,,456.1,,132.7,3,Coordinated_Defense__videoplayback (3)_clip_048.csv,Coordinated Defense
4,669.1,1,187.3,0,,0,,367.0,,120.9,1,Coordinated_Defense__videoplayback (3)_clip_049.csv,Coordinated Defense
3,468.6,0,,0,,0,,294.7,,,3,Coordinated_Defense__videoplayback (3)_clip_051.csv,Coordinated Defense
1,456.6,1,186.7,0,,2,377.2,450.9,,50.1,2,Coordinated_Defense__videoplayback (3)_clip_052.csv,Coordinated Defense
1,280.0,1,142.1,0,,0,,236.1,,63.9,4,Coordinated_Defense__videoplayback (3)_clip_055.csv,Coordinated Defense
4,428.3,1,104.2,0,,0,,140.4,,33.0,1,Coordinated_Defense__videoplayback (3)_clip_056.csv,Coordinated Defense
3,534.7,1,72.6,0,,0,,278.9,,30.6,2,Coordinated_Defense__videoplayback (3)_clip_058.csv,Coordinated Defense
3,421.6,1,29.1,0,,0,,126.3,,14.7,2,Coordinated_Defense__videoplayback (3)_clip_059.csv,Coordinated Defense
4,601.5,1,122.4,0,,0,,188.4,,47.0,1,Coordinated_Defense__videoplayback (3)_clip_060.csv,Coordinated Defense
1,311.1,1,168.3,0,,0,,223.5,,56.0,4,Coordinated_Defense__videoplayback (3)_clip_062.csv,Coordinated Defense
3,575.2,1,63.1,0,,0,,247.0,,34.5,2,Coordinated_Defense__videoplayback (3)_clip_063.csv,Coordinated Defense
4,181.2,1,64.5,0,,0,,112.9,,35.0,1,Coordinated_Defense__videoplayback (3)_clip_066.csv,Coordinated Defense
3,227.2,1,158.0,0,,0,,102.5,,45.9,2,Coordinated_Defense__videoplayback (3)_clip_067.csv,Coordinated Defense
5,713.6,1,85.8,0,,0,,123.9,,38.8,0,Coordinated_Defense__videoplayback (3)_clip_069.csv,Coordinated Defense
2,463.5,1,118.5,0,,1,256.2,224.3,,41.6,2,Coordinated_Defense__videoplayback (3)_clip_070.csv,Coordinated Defense
3,354.0,1,83.2,1,315.1,0,,235.1,311.1,36.2,1,Coordinated_Defense__videoplayback (3)_clip_071.csv,Coordinated Defense
2,475.2,0,,0,,0,,181.9,,,4,Coordinated_Defense__videoplayback (3)_clip_072.csv,Coordinated Defense
4,568.8,0,,0,,0,,217.1,,,2,Coordinated_Defense__videoplayback (3)_clip_073.csv,Coordinated Defense
2,458.3,1,520.1,1,563.1,1,116.5,380.7,558.8,111.3,1,Coordinated_Defense__videoplayback (3)_clip_075.csv,Coordinated Defense
3,420.4,1,159.0,0,,0,,133.3,,60.9,2,Coordinated_Defense__videoplayback (3)_clip_076.csv,Coordinated Defense
4,424.1,1,177.8,0,,0,,167.6,,84.9,1,Coordinated_Defense__videoplayback (3)_clip_078.csv,Coordinated Defense
2,581.2,1,312.9,0,,0,,327.7,,92.8,3,Coordinated_Defense__videoplayback (3)_clip_079.csv,Coordinated Defense
2,503.6,1,116.5,0,,1,53.1,319.6,,47.5,2,Coordinated_Defense__videoplayback (3)_clip_081.csv,Coordinated Defense
4,468.0,1,115.4,0,,1,45.6,243.2,,53.7,0,Coordinated_Defense__videoplayback (3)_clip_082.csv,Coordinated Defense
2,635.5,1,86.9,0,,2,365.7,365.2,,35.5,1,Coordinated_Defense__videoplayback (3)_clip_083.csv,Coordinated Defense
1,332.8,0,,0,,2,133.4,161.3,,,3,Coordinated_Defense__videoplayback (3)_clip_085.csv,Coordinated Defense
1,474.4,1,82.2,0,,1,270.0,245.3,,35.1,3,Coordinated_Defense__videoplayback (3)_clip_086.csv,Coordinated Defense
1,448.8,1,239.6,0,,2,121.2,189.5,,46.4,2,Coordinated_Defense__videoplayback (3)_clip_088.csv,Coordinated Defense
2,540.9,1,272.8,1,453.2,1,258.3,281.2,446.5,88.3,1,Coordinated_Defense__videoplayback (3)_clip_089.csv,Coordinated Defense
3,440.5,1,231.8,0,,1,246.7,221.6,,107.2,1,Coordinated_Defense__videoplayback (3)_clip_090.csv,Coordinated Defense
2,330.4,1,93.3,0,,1,24.0,181.2,,34.3,2,Coordinated_Defense__videoplayback (3)_clip_092.csv,Coordinated Defense
4,487.6,0,,0,,1,273.2,166.9,,,1,Coordinated_Defense__videoplayback (3)_clip_093.csv,Coordinated Defense
1,329.9,1,124.4,0,,1,122.1,226.4,,44.8,3,Coordinated_Defense__videoplayback (3)_clip_096.csv,Coordinated Defense
2,434.3,1,126.5,0,,0,,164.9,,54.5,3,Coordinated_Defense__videoplayback (3)_clip_097.csv,Coordinated Defense
3,624.3,1,174.1,0,,1,171.7,374.0,,67.7,1,Coordinated_Defense__videoplayback (3)_clip_099.csv,Coordinated Defense
1,626.5,1,150.2,1,253.2,2,709.1,616.6,250.8,67.3,1,Coordinated_Defense__videoplayback (3)_clip_100.csv,Coordinated Defense
3,570.3,1,313.8,0,,1,274.9,334.2,,103.7,1,Coordinated_Defense__videoplayback (3)_clip_101.csv,Coordinated Defense
3,441.6,1,199.0,0,,0,,104.0,,69.6,2,Coordinated_Defense__videoplayback (3)_clip_103.csv,Coordinated Defense
4,530.8,1,117.8,0,,0,,283.0,,57.7,1,Coordinated_Defense__videoplayback (3)_clip_104.csv,Coordinated Defense
3,275.1,0,,0,,2,87.6,154.8,,,1,Coordinated_Defense__videoplayback (3)_clip_106.csv,Coordinated Defense
2,339.7,1,132.9,1,445.6,0,,156.6,428.0,63.4,2,Coordinated_Defense__videoplayback (3)_clip_107.csv,Coordinated Defense
4,319.2,0,,1,501.7,1,58.5,141.5,499.6,,0,Coordinated_Defense__videoplayback (4)_clip_110.csv,Coordinated Defense
2,511.2,0,,0,,1,91.4,341.5,,,3,Coordinated_Defense__videoplayback (4)_clip_111.csv,Coordinated Defense
3,442.0,0,,0,,1,84.4,115.9,,,2,Coordinated_Defense__videoplayback (4)_clip_115.csv,Coordinated Defense
1,493.8,1,462.7,0,,1,48.9,379.7,,158.9,3,Coordinated_Defense__videoplayback (4)_clip_116.csv,Coordinated Defense
0,,1,78.3,1,448.6,1,19.7,,444.6,25.2,3,Coordinated_Defense__videoplayback (4)_clip_118.csv,Coordinated Defense
1,158.7,1,171.4,1,240.4,3,181.9,120.1,234.4,68.2,0,Coordinated_Defense__videoplayback (4)_clip_120.csv,Coordinated Defense
3,436.1,1,379.8,0,,1,75.2,178.8,,93.7,1,Coordinated_Defense__videoplayback (4)_clip_121.csv,Coordinated Defense
3,334.9,0,,0,,1,15.9,123.7,,,2,Coordinated_Defense__videoplayback (4)_clip_123.csv,Coordinated Defense
2,563.0,1,227.3,1,736.7,1,48.5,271.5,724.2,99.1,1,Coordinated_Defense__videoplayback (4)_clip_124.csv,Coordinated Defense
2,565.8,0,,0,,3,527.8,351.6,,,1,Coordinated_Defense__videoplayback (4)_clip_125.csv,Coordinated Defense
2,215.8,0,,1,146.9,1,14.7,76.7,144.1,,2,Coordinated_Defense__videoplayback (4)_clip_127.csv,Coordinated Defense
2,520.7,0,,0,,2,113.7,257.4,,,2,Coordinated_Defense__videoplayback (4)_clip_128.csv,Coordinated Defense
4,569.5,0,,0,,1,16.5,127.6,,,1,Coordinated_Defense__videoplayback (4)_clip_130.csv,Coordinated Defense
3,444.9,0,,0,,1,40.5,158.0,,,2,Coordinated_Defense__videoplayback (4)_clip_132.csv,Coordinated Defense
